date,symbol,open,high,low,close,volume,change,changePercent,vwap,changeOverTime,label,unadjustedVolume,adjClose
2024-12-05,META,617.08,619.9,607.05,608.93,8081212,-8.15,-1.32,613.24,1.4789529392607066,2024-12-05,8081212,608.93
2024-12-06,META,610.1,629.79,608.53,623.77,16935503,13.67,2.24,618.0475,1.5393665526787168,2024-12-06,16935503,623.77
2024-12-09,META,623.92,626.4,606.17,613.57,11426015,-10.35,-1.66,617.515,1.497842370949357,2024-12-09,11426015,613.57
2024-12-10,META,617.56,625.59,612.74,619.32,10938900,1.76,0.28499,618.8025,1.5212506106497314,2024-12-10,10938900,619.32
2024-12-11,META,623.37,638.4,621.53,632.68,10837228,9.31,1.49,628.995,1.5756391467187756,2024-12-11,10837228,632.68
2024-12-12,META,631.5,636.66,627.21,630.79,7474717,-0.71,-0.11243,631.54,1.5679449601042177,2024-12-12,7474717,630.79
2024-12-13,META,627.22,631.08,616.89,620.35,8453349,-6.87,-1.1,623.885,1.5254437388047553,2024-12-13,8453349,620.35
2024-12-16,META,629.98,631.15,618.58,624.24,10885625,-5.74,-0.91114,625.9875,1.5412799218368347,2024-12-16,10885625,624.24
2024-12-17,META,626.17,632.37,616.54,619.44,12897842,-6.73,-1.07,623.63,1.5217391304347831,2024-12-17,12897842,619.44
2024-12-18,META,621.0,627.36,596.32,597.19,17075500,-23.81,-3.83,610.4675,1.4311594202898554,2024-12-18,17075500,597.19
2024-12-19,META,610.39,611.52,595.0,595.57,14958100,-14.82,-2.43,603.12,1.4245644031916629,2024-12-19,14958100,595.57
2024-12-20,META,590.58,603.11,580.0,585.25,48989400,-5.33,-0.9025,589.735,1.3825517016772513,2024-12-20,48989400,585.25
2024-12-23,META,589.6,601.09,586.25,599.85,10205800,10.25,1.74,594.1975,1.441988275525159,2024-12-23,10205800,599.85
2024-12-24,META,602.72,607.99,599.28,607.75,4726100,5.03,0.83455,604.435,1.4741491613743691,2024-12-24,4726100,607.75
2024-12-26,META,605.48,606.3,598.94,603.35,6091239,-2.13,-0.35179,603.5175,1.4562367692558218,2024-12-26,6091239,603.35
